City_ID,City,Country,MaxTemp,Current Description,Lat,Lon,Hotel Name
928,Chui,UY,51.3,few clouds,-33.6971,-53.4616,Hotel Internacional
930,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
933,Souillac,MU,64.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
934,Port Alfred,ZA,61.95,overcast clouds,-33.5906,26.891,Royal St Andrews Hotel
938,Bredasdorp,ZA,53.1,light rain,-34.5322,20.0403,Victoria Hotel - Bredasdorp
940,Sitka,US,67.89,overcast clouds,57.0531,-135.33,Sitka Hotel
944,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,The Vic Boutique Hotel
946,Arraial do Cabo,BR,67.86,clear sky,-22.9661,-42.0278,Orlanova Hotel
947,Port Hedland,AU,69.85,overcast clouds,-20.3167,118.5667,Hedland Hotel
958,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
959,Saint Paul Harbor,US,58.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
961,Luena,AO,52.68,broken clouds,-11.7833,19.9167,Hotel Kandamba
967,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
974,Souillac,MU,64.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
975,Kragerø,NO,60.58,clear sky,58.8693,9.4149,Victoria Hotel Kragerø
978,East London,ZA,63.43,scattered clouds,-33.0153,27.9116,Blue Lagoon Hotel
979,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
980,Masterton,NZ,51.89,broken clouds,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
983,Espera Feliz,BR,54.36,clear sky,-20.6503,-41.9072,Hotel Pico Da Bandeira
984,Ahipara,NZ,55.81,clear sky,-35.1667,173.1667,Ahipara Bay Motel
986,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
987,Port Alfred,ZA,61.95,overcast clouds,-33.5906,26.891,Royal St Andrews Hotel
988,Grindavik,IS,51.75,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
992,Lubango,AO,59.41,clear sky,-14.9172,13.4925,Chik-Chik Lubango
995,Kiama,AU,62.26,overcast clouds,-34.6833,150.8667,The Grand Hotel
1000,Mar del Plata,AR,52.88,clear sky,-38.0023,-57.5575,HOTEL TRONADOR
1002,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
1003,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1006,Chui,UY,51.3,few clouds,-33.6971,-53.4616,Bertelli Chuí Hotel
